section,table_name,name,details
01_ENUM,wallet_transaction_status,definition,"{""oid"": ""21344"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""pending"", ""completed"", ""failed"", ""reversed""], ""value_count"": 4}"
01_ENUM,wallet_transaction_type,definition,"{""oid"": ""21324"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""trip_earning"", ""trip_payment"", ""withdrawal"", ""withdrawal_refund"", ""top_up"", ""refund"", ""bonus"", ""penalty"", ""adjustment"", ""coupon_subsidy""], ""value_count"": 10}"
01_ENUM,withdrawal_method,definition,"{""oid"": ""21368"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""bank_transfer"", ""vodafone_cash"", ""instapay"", ""orange_money""], ""value_count"": 4}"
01_ENUM,withdrawal_status,definition,"{""oid"": ""21354"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""pending"", ""approved"", ""processing"", ""completed"", ""rejected"", ""cancelled""], ""value_count"": 6}"
05_COLUMN,admin_logs,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,app_config,key,"{""type"": {""udt_name"": ""text"", ""data_type"": ""text"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.6071, ""avg_width_bytes"": 20, ""distinct_values"": -1.00, ""histogram_bounds"": ""{maintenance_mode,max_search_duration_sec,max_search_radius_km,min_app_version,multi_route_enabled,referral_system_enabled,scheduled_rides_enabled}"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,bonus_rules,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.7273, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{4fffc43c-d44a-4098-995c-28d44c433795,51da8e9b-8cf1-40c4-8c19-3298e16439a9,640289c9-fe3a-41fc-9f38-e41a20624319,767a4f8c-e2a4-4751-81e9-cdb09e83dd3e,a4eea3a0-ff5d-4398-b5ae-6110a109a4cb,a6709100-cc4d-4ff5-af07-0fa6522d804f,afba9e46-3172-4317-bf05-ac50f2dc0a08,bc60998e-5ba1-4f8d-bff4-4a6bc2c0b053,cb3c53db-893e-4168-8b86-c8dc4f9d03f7,d50600e2-8c15-48e7-b286-3a0a94101f6a,de5b7c37-f915-444a-a464-bac09"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,complaints,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,coupon_audit_log,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,coupon_usages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
